TR41-022322,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111202,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179346,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,กรกฎาคม,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
TR41-022323,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111203,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179347,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,มิถุนายน,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
TR41-022324,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111204,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179348,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,พฤษภาคม,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
TR41-022325,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111205,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179349,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,เมษายน,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
TR41-022326,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111206,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179350,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,มีนาคม,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
TR41-022327,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111207,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179351,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,กุมภาพันธ์,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
TR41-022328,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111208,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179352,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,มกราคม,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
TR41-022329,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111209,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179353,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,ธันวาคม,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
TR41-022330,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111210,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179354,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,พฤศจิกายน,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
TR41-022331,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111211,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179355,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,ตุลาคม,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
TR41-022332,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111212,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179356,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,กันยายน,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
TR41-022333,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111213,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179357,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,สิงหาคม,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
TR41-022334,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111214,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179358,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,กรกฎาคม,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
TR41-022335,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111215,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179359,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,มิถุนายน,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
TR41-022336,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111216,Low,4839.28,1093,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,39.38,18.37525381,98.77121287,DCC_xx บ้านหล่ายแก้ว (ตรงข้ามซอย 12),เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001315,INST,460179360,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,พฤษภาคม,33.09,61.94,40.17,50.14,19.34,67.65,49.27,58.33,46.68000031,33.99000168,40.24000168,46.68000031,24.12061245,17.47291176,219.09,219.16,698.81,421,17043,93,,,93
